addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x0200ff60	DIVERGED	arm9	_ZN8dActor_c11UntrackStarERa	function	_ZN5Actor11UntrackStarERa	function	class-rename	_ZN8dActor_c11UntrackStarERa	
0x0200ff94	DIVERGED	arm9	_ZN8dActor_c9TrackStarEjj	function	_ZN5Actor9TrackStarEjj	function	class-rename	_ZN8dActor_c9TrackStarEjj	
0x02010044	DIVERGED	arm9	_ZN8dActor_c11SpawnNumberERK7Vector3jbtPS_	function	_ZN5Actor11SpawnNumberERK7Vector3jbtPS_	function	class-rename+arg-rename	_ZN8dActor_c11SpawnNumberERK7Vector3jbtPS_	
0x020100dc	DIVERGED	arm9	_ZN8dActor_c25OnAimedAtWithEggReturnVecEv	function	_ZN5Actor25OnAimedAtWithEggReturnVecEv	function	class-rename	_ZN8dActor_c25OnAimedAtWithEggReturnVecEv	
0x02010124	DIVERGED	arm9	_ZN8dActor_c16OnAimedAtWithEggEv	function	_ZN5Actor16OnAimedAtWithEggEv	function	class-rename	_ZN8dActor_c16OnAimedAtWithEggEv	
0x0201012c	DIVERGED	arm9	_ZN8dActor_c19OnHitFromUnderneathERS_	function	_ZN5Actor19OnHitFromUnderneathERS_	function	class-rename+arg-rename	_ZN8dActor_c19OnHitFromUnderneathERS_	
0x02010130	DIVERGED	arm9	_ZN8dActor_c15OnHitByMegaCharER6Player	function	_ZN5Actor15OnHitByMegaCharER6Player	function	class-rename	_ZN8dActor_c15OnHitByMegaCharER6Player	
0x02010134	DIVERGED	arm9	_ZN8dActor_c24OnHitByCannonBlastedCharERS_	function	_ZN5Actor24OnHitByCannonBlastedCharERS_	function	class-rename+arg-rename	_ZN8dActor_c24OnHitByCannonBlastedCharERS_	
0x02010138	DIVERGED	arm9	_ZN8dActor_c8OnPushedERS_	function	_ZN5Actor8OnPushedERS_	function	class-rename+arg-rename	_ZN8dActor_c8OnPushedERS_	
0x0201013c	DIVERGED	arm9	_ZN8dActor_c8OnKickedERS_	function	_ZN5Actor8OnKickedERS_	function	class-rename+arg-rename	_ZN8dActor_c8OnKickedERS_	
0x02010140	DIVERGED	arm9	_ZN8dActor_c11OnAttacked2ERS_	function	_ZN5Actor11OnAttacked2ERS_	function	class-rename+arg-rename	_ZN8dActor_c11OnAttacked2ERS_	
0x02010144	DIVERGED	arm9	_ZN8dActor_c11OnAttacked1ERS_	function	_ZN5Actor11OnAttacked1ERS_	function	class-rename+arg-rename	_ZN8dActor_c11OnAttacked1ERS_	
0x02010148	DIVERGED	arm9	_ZN8dActor_c15OnGroundPoundedERS_	function	_ZN5Actor15OnGroundPoundedERS_	function	class-rename+arg-rename	_ZN8dActor_c15OnGroundPoundedERS_	
0x0201014c	DIVERGED	arm9	_ZN8dActor_c9Virtual50Ev	function	_ZN5Actor9Virtual50Ev	function	class-rename	_ZN8dActor_c9Virtual50Ev	
0x02010154	DIVERGED	arm9	_ZN8dActor_c13OnTurnIntoEggER6Player	function	_ZN5Actor13OnTurnIntoEggER6Player	function	class-rename	_ZN8dActor_c13OnTurnIntoEggER6Player	
0x02010160	DIVERGED	arm9	_ZN8dActor_c13OnYoshiTryEatEv	function	_ZN5Actor13OnYoshiTryEatEv	function	class-rename	_ZN8dActor_c13OnYoshiTryEatEv	
0x02010168	DIVERGED	arm9	_ZN8dActor_c10EarthquakeERK7Vector35Fix12IiE	function	_ZN5Actor10EarthquakeERK7Vector35Fix12IiE	function	class-rename	_ZN8dActor_c10EarthquakeERK7Vector35Fix12IiE	
0x02010180	DIVERGED	arm9	_ZN8dActor_c11UpdateCarryER6PlayerRK7Vector3	function	_ZN5Actor11UpdateCarryER6PlayerRK7Vector3	function	class-rename	_ZN8dActor_c11UpdateCarryER6PlayerRK7Vector3	
0x020102b0	DIVERGED	arm9	_ZN8dActor_c13SpawnFireballERK7Vector3PK10Vector3_165Fix12IiES7_j	function	_ZN5Actor13SpawnFireballERK7Vector3PK10Vector3_165Fix12IiES7_j	function	class-rename	_ZN8dActor_c13SpawnFireballERK7Vector3PK10Vector3_165Fix12IiES7_j	
0x02010374	DIVERGED	arm9	_ZN8dActor_c18FindExplosionActorER5dCc_c	function	_ZN5Actor18FindExplosionActorER12CylinderClsn	function	class-rename+arg-rename	_ZN8dActor_c18FindExplosionActorER5dCc_c	
0x020103b4	DIVERGED	arm9	_ZN8dActor_c7FindEggER5dCc_c	function	_ZN5Actor7FindEggER12CylinderClsn	function	class-rename+arg-rename	_ZN8dActor_c7FindEggER5dCc_c	
0x020103f4	DIVERGED	arm9	_ZN8dActor_c14GetSubtractionEss	function	_ZN5Actor14GetSubtractionEss	function	class-rename	_ZN8dActor_c14GetSubtractionEss	
0x02010428	DIVERGED	arm9	_ZN8dActor_c12ReflectAngleE5Fix12IiES1_s	function	_ZN5Actor12ReflectAngleE5Fix12IiES1_s	function	class-rename	_ZN8dActor_c12ReflectAngleE5Fix12IiES1_s	
